dataset,gate_value,ari,nmi,n_clusters,n_hgnn_clusters,n_uf_clusters,n_hgnn_noise_points,singleton_fraction,mean_uf_cluster_size,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,use_uf_refinement,noise_point_strategy,skip_gate_sweep,latency_s,git_hash
UNSW-NB15_soft_floor,0.4,0.36753361710699267,0.45667726421586297,535,6,529,0,1.0,1.0,0.0529,0.8617191314697266,0.8255156874656677,0.6617191314697265,True,soft_assign,False,17.026333599933423,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft_floor,0.5,0.3619743529856983,0.44943795610401477,631,6,625,0,1.0,1.0,0.0625,0.8747199177742004,0.8255156874656677,0.6747199177742004,True,soft_assign,False,15.59570999990683,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft_floor,0.55,0.3588094062714548,0.44140795664947857,759,6,753,0,1.0,1.0,0.0753,0.8812350630760193,0.8255156874656677,0.6812350630760191,True,soft_assign,False,15.090316500049084,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft_floor,0.6,0.3577377841237176,0.43789714108792027,809,6,803,0,1.0,1.0,0.0803,0.8876928687095642,0.8255156874656677,0.6876928687095641,True,soft_assign,False,15.269962500082329,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft_floor,0.65,0.3603117128759046,0.43737348981808893,867,6,861,0,1.0,1.0,0.0861,0.8940356373786926,0.8255156874656677,0.6940356373786927,True,soft_assign,False,14.891002999967895,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft_floor,0.7,0.35574990624152264,0.43201124235772603,956,6,950,0,1.0,1.0,0.095,0.900169312953949,0.8500000238418579,0.700169312953949,True,soft_assign,False,15.845983600011095,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft_floor,0.75,0.35536188078294156,0.4301952503335772,1014,6,1008,0,1.0,1.0,0.1008,0.901628315448761,0.8595802187919617,0.701628315448761,True,soft_assign,False,15.390697300084867,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft_floor,0.8,0.35576833807408065,0.4259879210088861,1117,6,1111,0,1.0,1.0,0.1111,0.9021556377410889,0.8595802187919617,0.7021556377410887,True,soft_assign,False,16.564431000035256,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft_floor,0.9,0.3521780937299015,0.4182772988405893,1343,6,1337,0,1.0,1.0,0.1337,0.9143046736717224,0.9599999785423279,0.7143046736717223,True,soft_assign,False,15.99471719993744,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_no_uf,0.4,0.40417142379343274,0.5140496289213494,6,6,0,1321,,,0.0,0.7894246578216553,0.8255156874656677,,False,zero,False,15.46146680007223,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_baseline,0.4,0.35405328563885535,0.4290653172066053,1855,5,1850,1321,1.0,1.0,0.185,0.7894246578216553,0.8255156874656677,0.5894246578216553,True,zero,False,16.23102129995823,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_baseline,0.5,0.3479730926008287,0.42390706795106586,1951,5,1946,1321,1.0,1.0,0.1946,0.7894246578216553,0.8255156874656677,0.5894246578216552,True,zero,False,15.381900500040501,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_baseline,0.55,0.3442432129321929,0.41838481669937067,2079,5,2074,1321,1.0,1.0,0.2074,0.7894246578216553,0.8255156874656677,0.5894246578216553,True,zero,False,15.005977900000289,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_baseline,0.6,0.3428643680166543,0.41542891432386325,2129,5,2124,1321,1.0,1.0,0.2124,0.7894246578216553,0.8255156874656677,0.5894246578216552,True,zero,False,15.379509999998845,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_baseline,0.65,0.34497286359940366,0.41549350525795925,2187,5,2182,1321,1.0,1.0,0.2182,0.7894246578216553,0.8255156874656677,0.5894246578216551,True,zero,False,15.364881000015885,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_baseline,0.7,0.3399146365708518,0.4120496077756713,2276,5,2271,1321,1.0,1.0,0.2271,0.7894246578216553,0.8255156874656677,0.5894246578216552,True,zero,False,16.679870399995707,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_baseline,0.75,0.33940279302485044,0.41123718067129683,2334,5,2329,1321,1.0,1.0,0.2329,0.7894246578216553,0.8255156874656677,0.5894246578216552,True,zero,False,16.4720026999712,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_baseline,0.8,0.3389104931197462,0.4083048752436582,2437,5,2432,1321,1.0,1.0,0.2432,0.7894246578216553,0.8255156874656677,0.5894246578216552,True,zero,False,17.07221019989811,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_baseline,0.9,0.3335294626264444,0.402613053136878,2663,5,2658,1321,1.0,1.0,0.2658,0.7894246578216553,0.8255156874656677,0.5894246578216551,True,zero,False,16.581862900056876,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_soft_floor,0.4,0.2436020039547263,0.2950643872615476,109,4,105,0,0.9523809523809523,1.3333333333333333,0.014,0.8811674118041992,0.8422449827194214,0.681167411804199,True,soft_assign,False,22.081766000017524,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_soft_floor,0.5,0.23726733224805477,0.29355434386210705,183,4,179,0,0.9162011173184358,1.782122905027933,0.0319,0.8990674018859863,0.8422449827194214,0.6990674018859862,True,soft_assign,False,20.579973999992944,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_soft_floor,0.55,0.23420551577846077,0.29211512143973395,214,4,210,0,0.9047619047619048,1.9333333333333333,0.0406,0.9080091714859009,0.8422449827194214,0.7080091714859008,True,soft_assign,False,20.13878289994318,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_soft_floor,0.6,0.23528239057473696,0.2986859864515463,220,4,216,0,0.8935185185185185,2.2546296296296298,0.0487,0.9169324040412903,0.8422449827194214,0.7169324040412903,True,soft_assign,False,20.15208870009519,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_soft_floor,0.65,0.23367775839860314,0.2976052854580086,226,4,222,0,0.8873873873873874,2.2612612612612613,0.0502,0.9258267283439636,0.8422449827194214,0.7258267283439637,True,soft_assign,False,21.98076389997732,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_soft_floor,0.7,0.2335676541863793,0.2963915833230714,242,4,238,0,0.8823529411764706,2.361344537815126,0.0562,0.9346614480018616,0.8500000238418579,0.7346614480018614,True,soft_assign,False,22.572994399932213,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_soft_floor,0.75,0.2334110532243385,0.2954763600744863,253,4,249,0,0.891566265060241,2.4096385542168677,0.06,0.9432604312896729,0.8999999761581421,0.7432604312896729,True,soft_assign,False,22.40639519994147,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_soft_floor,0.8,0.23232408381337946,0.294926656220314,263,4,259,0,0.8803088803088803,2.5135135135135136,0.0651,0.9438912272453308,0.90337073802948,0.7438912272453307,True,soft_assign,False,22.425338299944997,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_soft_floor,0.9,0.23637671681239783,0.2967357648736516,359,4,355,0,0.8028169014084507,2.3746478873239436,0.0843,0.9535905122756958,0.9599999785423279,0.753590512275696,True,soft_assign,False,20.480148699949495,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_no_uf,0.4,0.2574222831135961,0.3066633782305696,4,4,0,1790,,,0.0,0.7827173471450806,0.8422449827194214,,False,zero,False,19.914558699936606,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.4,0.21471082029560662,0.2966747563291918,707,4,703,1790,0.9658605974395448,2.745376955903272,0.193,0.7827173471450806,0.8422449827194214,0.5827173471450806,True,zero,False,21.33771180000622,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.5,0.20851116747619197,0.29534816921544066,777,4,773,1790,0.9547218628719275,2.7283311772315653,0.2109,0.7827173471450806,0.8422449827194214,0.5827173471450805,True,zero,False,22.60790810000617,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.55,0.2047187433955338,0.2932810915659977,807,4,803,1790,0.9551681195516812,2.734744707347447,0.2196,0.7827173471450806,0.8422449827194214,0.5827173471450804,True,zero,False,22.919126600027084,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.6,0.20516757646762593,0.29759841911078805,811,4,807,1790,0.9516728624535316,2.8215613382899627,0.2277,0.7827173471450806,0.8422449827194214,0.5827173471450805,True,zero,False,23.22465809993446,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.65,0.2036998200285278,0.2968786990697038,819,4,815,1790,0.9496932515337423,2.812269938650307,0.2292,0.7827173471450806,0.8422449827194214,0.5827173471450805,True,zero,False,21.753414299921133,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.7,0.20381588132624956,0.2963787470042241,835,4,831,1790,0.9470517448856799,2.8303249097472922,0.2352,0.7827173471450806,0.8422449827194214,0.5827173471450805,True,zero,False,20.677401899942197,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.75,0.20535753556722705,0.2976465823792889,842,4,838,1790,0.9451073985680191,2.8520286396181382,0.239,0.7827173471450806,0.8422449827194214,0.5827173471450805,True,zero,False,20.86411920003593,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.8,0.20569636049102177,0.2986822370227235,854,4,850,1790,0.9435294117647058,2.8717647058823528,0.2441,0.7827173471450806,0.8422449827194214,0.5827173471450805,True,zero,False,20.825639000046067,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.9,0.21693609373760123,0.3076925018820252,876,4,872,1790,0.9403669724770642,3.0194954128440368,0.2633,0.7827173471450806,0.8422449827194214,0.5827173471450805,True,zero,False,22.456235000048764,5e568a20a301ade3d9c3911e1b091cb5799313ea
TON_IoT,0.4,0.0,0.0,1,1,0,0,,,0.0,1.0,1.0,,True,zero,True,13.395997800049372,5e568a20a301ade3d9c3911e1b091cb5799313ea
